Raw Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ID,0(s),30(s),60(s),89(s),120(s),150(s),180(s),209(s),240(s),270(s),300(s),329(s),360(s),390(s),420(s),450(s),479(s),510(s),540(s),570(s),599(s),630(s),660(s),690(s),719(s),750(s),780(s),810(s),839(s),870(s),900(s),930(s),959(s),990(s),1020(s),1050(s),1079(s),1110(s),1140(s),1170(s),1199(s),1230(s),1260(s),1290(s),1320(s),1349(s),1380(s),1410(s),1440(s),1469(s),1500(s),1530(s),1560(s),1589(s),1620(s),1650(s),1680(s),1710(s),1739(s),1770(s),1800(s),1830(s),1860(s),1890(s),1919(s),1950(s),1980(s),2010(s),2040(s),2070(s),2100(s),2129(s),2160(s),2190(s),2220(s),2250(s),2280(s),2309(s),2340(s),2370(s),2400(s),2430(s),2460(s),2490(s),2519(s),2550(s),2580(s),2610(s),2640(s),2670(s),2700(s),2729(s),2760(s),2790(s),2820(s),2850(s),2880(s),2910(s),2939(s),2970(s),3000(s),3030(s),3060(s),3090(s),3119(s),3150(s),3180(s),3210(s),3240(s),3270(s),3299(s),3330(s),3360(s),3390(s),3420(s),3450(s),3480(s),3509(s),3540(s),3570(s)
,,,,,,,,,,,groep 3.1,A1,0.772,0.78,0.78,0.781,0.779,0.778,0.778,0.776,0.775,0.777,0.774,0.775,0.775,0.773,0.772,0.774,0.772,0.772,0.772,0.774,0.773,0.771,0.771,0.77,0.771,0.771,0.769,0.769,0.77,0.768,0.768,0.771,0.769,0.769,0.769,0.768,0.769,0.769,0.768,0.768,0.766,0.768,0.769,0.769,0.768,0.767,0.765,0.767,0.767,0.765,0.765,0.765,0.766,0.767,0.765,0.763,0.764,0.764,0.763,0.764,0.763,0.763,0.763,0.763,0.762,0.762,0.764,0.763,0.763,0.764,0.764,0.763,0.763,0.763,0.764,0.764,0.762,0.763,0.762,0.762,0.761,0.76,0.759,0.759,0.759,0.758,0.755,0.755,0.746,0.756,0.755,0.753,0.752,0.752,0.741,0.751,0.752,0.751,0.751,0.75,0.75,0.749,0.749,0.748,0.749,0.749,0.748,0.747,0.746,0.748,0.745,0.746,0.747,0.746,0.745,0.744,0.744,0.744,0.743,0.742
,,,,,,,,,,,groep 3.1,A2,0.786,0.795,0.795,0.794,0.792,0.79,0.789,0.79,0.79,0.789,0.789,0.789,0.788,0.788,0.789,0.787,0.788,0.788,0.789,0.79,0.788,0.788,0.791,0.789,0.79,0.79,0.79,0.789,0.788,0.789,0.791,0.792,0.789,0.789,0.788,0.788,0.788,0.787,0.785,0.786,0.785,0.785,0.785,0.784,0.785,0.784,0.782,0.783,0.782,0.782,0.782,0.781,0.78,0.781,0.779,0.779,0.779,0.778,0.778,0.777,0.777,0.776,0.775,0.776,0.775,0.774,0.774,0.773,0.772,0.772,0.771,0.77,0.769,0.769,0.768,0.769,0.768,0.767,0.765,0.766,0.765,0.764,0.764,0.763,0.762,0.762,0.762,0.762,0.755,0.761,0.76,0.76,0.761,0.761,0.752,0.759,0.759,0.76,0.759,0.758,0.757,0.757,0.759,0.758,0.758,0.758,0.758,0.756,0.756,0.757,0.754,0.754,0.754,0.752,0.753,0.753,0.752,0.752,0.751,0.751
,,,,,,,,,,,groep 3.1,A3,0.784,0.781,0.781,0.778,0.775,0.776,0.774,0.772,0.771,0.772,0.77,0.771,0.771,0.77,0.769,0.771,0.769,0.769,0.769,0.77,0.768,0.767,0.769,0.769,0.769,0.769,0.766,0.767,0.768,0.767,0.767,0.768,0.765,0.766,0.764,0.763,0.762,0.763,0.762,0.763,0.761,0.76,0.76,0.76,0.76,0.759,0.758,0.76,0.76,0.758,0.76,0.76,0.76,0.76,0.759,0.759,0.759,0.76,0.759,0.757,0.757,0.758,0.76,0.759,0.758,0.757,0.757,0.755,0.755,0.755,0.754,0.754,0.753,0.756,0.755,0.755,0.755,0.755,0.753,0.754,0.754,0.753,0.753,0.753,0.754,0.754,0.754,0.755,0.745,0.755,0.755,0.755,0.756,0.757,0.746,0.757,0.756,0.758,0.758,0.757,0.759,0.759,0.76,0.759,0.758,0.758,0.758,0.756,0.758,0.756,0.755,0.755,0.756,0.755,0.755,0.754,0.754,0.753,0.752,0.751
,,,,,,,,,,,groep 3.1,A4,0.779,0.771,0.77,0.77,0.765,0.764,0.761,0.76,0.76,0.759,0.757,0.756,0.756,0.755,0.755,0.755,0.754,0.755,0.755,0.755,0.753,0.753,0.755,0.752,0.754,0.755,0.753,0.753,0.752,0.752,0.753,0.755,0.753,0.753,0.754,0.754,0.753,0.754,0.753,0.754,0.753,0.753,0.753,0.754,0.753,0.753,0.753,0.754,0.754,0.753,0.753,0.753,0.753,0.754,0.753,0.751,0.751,0.749,0.752,0.751,0.75,0.749,0.748,0.747,0.746,0.744,0.745,0.746,0.744,0.743,0.744,0.744,0.743,0.745,0.745,0.744,0.743,0.743,0.741,0.74,0.74,0.739,0.741,0.741,0.74,0.74,0.74,0.741,0.732,0.74,0.738,0.738,0.738,0.738,0.728,0.736,0.737,0.737,0.737,0.733,0.734,0.734,0.734,0.734,0.734,0.734,0.733,0.732,0.731,0.734,0.733,0.731,0.732,0.732,0.732,0.731,0.731,0.732,0.73,0.73
,,,,,,,,,,,groep 3.2,A5,0.791,0.781,0.779,0.777,0.774,0.774,0.77,0.771,0.77,0.769,0.769,0.769,0.768,0.768,0.766,0.766,0.766,0.766,0.766,0.766,0.765,0.765,0.767,0.766,0.768,0.767,0.766,0.765,0.763,0.763,0.765,0.765,0.763,0.764,0.763,0.763,0.764,0.762,0.76,0.762,0.76,0.759,0.759,0.76,0.76,0.759,0.758,0.758,0.758,0.756,0.756,0.755,0.753,0.753,0.752,0.752,0.752,0.752,0.751,0.75,0.749,0.748,0.748,0.747,0.747,0.746,0.746,0.745,0.746,0.747,0.746,0.747,0.746,0.746,0.745,0.746,0.746,0.746,0.744,0.745,0.747,0.745,0.746,0.745,0.745,0.744,0.743,0.745,0.734,0.743,0.742,0.741,0.741,0.742,0.73,0.741,0.741,0.74,0.74,0.739,0.738,0.737,0.739,0.739,0.739,0.739,0.739,0.739,0.738,0.74,0.738,0.739,0.739,0.738,0.739,0.739,0.738,0.738,0.737,0.738
,,,,,,,,,,,groep 3.2,A6,0.784,0.774,0.771,0.77,0.768,0.768,0.766,0.765,0.764,0.764,0.763,0.762,0.762,0.761,0.76,0.761,0.76,0.759,0.76,0.762,0.76,0.76,0.761,0.761,0.764,0.764,0.762,0.761,0.763,0.763,0.763,0.765,0.764,0.765,0.765,0.765,0.765,0.765,0.764,0.765,0.763,0.763,0.763,0.763,0.763,0.761,0.759,0.759,0.758,0.756,0.757,0.755,0.757,0.756,0.755,0.754,0.754,0.753,0.753,0.753,0.752,0.751,0.751,0.75,0.749,0.749,0.75,0.748,0.749,0.75,0.749,0.749,0.749,0.749,0.749,0.748,0.747,0.747,0.746,0.746,0.746,0.746,0.745,0.744,0.743,0.743,0.743,0.742,0.737,0.744,0.743,0.742,0.741,0.742,0.734,0.742,0.742,0.742,0.741,0.739,0.74,0.739,0.74,0.74,0.74,0.741,0.74,0.739,0.741,0.741,0.739,0.739,0.739,0.738,0.739,0.738,0.738,0.738,0.737,0.736
,,,,,,,,,,,groep 3.2,A7,0.778,0.772,0.769,0.768,0.764,0.763,0.76,0.761,0.761,0.758,0.757,0.756,0.754,0.755,0.752,0.751,0.751,0.751,0.751,0.751,0.75,0.75,0.751,0.75,0.752,0.75,0.751,0.751,0.75,0.752,0.753,0.754,0.753,0.754,0.753,0.753,0.754,0.755,0.753,0.756,0.754,0.753,0.756,0.754,0.754,0.754,0.753,0.754,0.754,0.753,0.754,0.753,0.753,0.754,0.753,0.752,0.753,0.752,0.753,0.752,0.753,0.751,0.752,0.752,0.751,0.752,0.752,0.752,0.751,0.751,0.751,0.751,0.75,0.75,0.75,0.751,0.752,0.75,0.749,0.749,0.749,0.747,0.748,0.748,0.746,0.746,0.747,0.746,0.735,0.746,0.744,0.744,0.745,0.745,0.733,0.741,0.742,0.743,0.743,0.741,0.741,0.74,0.742,0.742,0.741,0.741,0.741,0.74,0.739,0.739,0.738,0.738,0.737,0.735,0.736,0.737,0.734,0.735,0.734,0.734
,,,,,,,,,,,groep 3.2,A8,0.799,0.786,0.786,0.786,0.783,0.784,0.782,0.781,0.781,0.778,0.776,0.776,0.775,0.773,0.773,0.773,0.771,0.771,0.771,0.771,0.769,0.769,0.77,0.768,0.768,0.767,0.764,0.764,0.765,0.762,0.763,0.763,0.761,0.761,0.759,0.758,0.758,0.758,0.756,0.757,0.756,0.755,0.754,0.754,0.755,0.754,0.752,0.754,0.753,0.75,0.752,0.751,0.752,0.752,0.75,0.75,0.751,0.751,0.751,0.75,0.749,0.75,0.75,0.749,0.748,0.747,0.747,0.746,0.745,0.745,0.744,0.744,0.743,0.744,0.745,0.744,0.744,0.743,0.741,0.742,0.741,0.741,0.74,0.74,0.739,0.739,0.738,0.738,0.732,0.738,0.737,0.736,0.738,0.737,0.73,0.737,0.737,0.736,0.736,0.736,0.737,0.734,0.734,0.734,0.734,0.734,0.733,0.732,0.732,0.732,0.731,0.731,0.732,0.73,0.731,0.731,0.731,0.73,0.728,0.729
,,,,,,,,,,, /,A9,0.728,0.727,0.726,0.725,0.723,0.724,0.722,0.721,0.721,0.72,0.718,0.718,0.718,0.718,0.716,0.718,0.716,0.716,0.717,0.716,0.715,0.715,0.716,0.713,0.714,0.714,0.713,0.712,0.712,0.711,0.711,0.712,0.71,0.711,0.71,0.709,0.71,0.71,0.709,0.71,0.708,0.708,0.709,0.708,0.708,0.707,0.707,0.708,0.708,0.707,0.707,0.706,0.707,0.707,0.706,0.705,0.706,0.704,0.704,0.705,0.705,0.703,0.703,0.703,0.702,0.701,0.703,0.702,0.7,0.7,0.701,0.701,0.701,0.701,0.702,0.702,0.701,0.701,0.699,0.7,0.699,0.698,0.7,0.7,0.699,0.7,0.699,0.699,0.692,0.7,0.699,0.699,0.699,0.7,0.691,0.697,0.698,0.699,0.698,0.696,0.698,0.696,0.697,0.695,0.696,0.695,0.697,0.695,0.694,0.696,0.695,0.695,0.695,0.695,0.695,0.695,0.694,0.695,0.693,0.694
,,,,,,,,,,, /,A10,0.758,0.75,0.747,0.744,0.742,0.741,0.739,0.739,0.737,0.736,0.735,0.735,0.735,0.734,0.733,0.734,0.732,0.731,0.732,0.731,0.729,0.727,0.73,0.727,0.729,0.727,0.727,0.724,0.724,0.724,0.725,0.725,0.723,0.724,0.723,0.722,0.723,0.722,0.721,0.722,0.721,0.721,0.722,0.722,0.722,0.722,0.72,0.722,0.721,0.719,0.72,0.72,0.72,0.72,0.718,0.719,0.719,0.719,0.719,0.718,0.718,0.718,0.718,0.717,0.717,0.717,0.717,0.716,0.716,0.717,0.717,0.717,0.716,0.717,0.717,0.719,0.717,0.716,0.716,0.715,0.716,0.716,0.716,0.716,0.716,0.715,0.715,0.715,0.71,0.713,0.714,0.711,0.714,0.714,0.708,0.712,0.713,0.714,0.713,0.712,0.712,0.71,0.713,0.712,0.713,0.711,0.712,0.712,0.712,0.712,0.711,0.712,0.712,0.711,0.711,0.712,0.711,0.71,0.71,0.71
